algorithm,pattern,n_runs,ssr_mean,randi_mean,nmi_mean,mae_mean,time_mean
AZP,Rectangular,50,254.07716817769412,0.804370153846154,0.4908884366939942,0.7207597465092783,1.7426145124435424
AZP,Voronoi,50,185.3317416095216,0.826952,0.601952391314523,0.5376717437485601,1.3420182991027831
AZP,Arbitrary,50,197.03658547765176,0.839965128205128,0.5855008956807527,0.5768484243811577,2.05663375377655
RegionKModels,Rectangular,50,390.7765078106534,0.7845553846153847,0.4256466663053282,0.8648373632902089,0.045470204353332516
RegionKModels,Voronoi,50,314.1845439117667,0.8028429743589746,0.5409580390514485,0.6567566501774047,0.04175334453582764
RegionKModels,Arbitrary,50,339.3870607315303,0.8139544615384615,0.5180388081115699,0.743831871392542,0.03674452304840088
SKATER-reg,Rectangular,50,476.82013391105886,0.6643316923076923,0.41444077055306555,0.9359638783817175,24.97326819896698
SKATER-reg,Voronoi,50,342.1814672639715,0.7429943589743588,0.5049795087821434,0.7149073356563703,24.90427170753479
SKATER-reg,Arbitrary,50,390.6620620049689,0.7363511794871794,0.4824225327049425,0.7744602613906344,22.096360669136047
GWR+SKATER,Rectangular,50,215.30999063442871,0.8607498461538461,0.7283460737592293,0.4378575221902985,7.175027952194214
GWR+SKATER,Voronoi,50,204.6624997679169,0.8834201025641026,0.7093808505446034,0.36279734894784327,6.1746244668960575
GWR+SKATER,Arbitrary,50,288.54037303669935,0.8503020512820513,0.6235494158896505,0.48697144476403037,6.131153030395508
SHAP-based,Rectangular,50,67.95476698505271,0.937577641025641,0.8451811810650995,0.22483032033122863,5.820322275161743
SHAP-based,Voronoi,50,65.60584301912405,0.9550071794871795,0.8649611191996803,0.16296000549169654,5.869614677429199
SHAP-based,Arbitrary,50,84.77574770828039,0.9227790769230769,0.7907898066154666,0.274715953484002,6.064524703025818
