Running algorithms: ['AZP', 'RegionKModels', 'SKATER-reg', 'GWR+SKATER', 'SHAP-based']
Resuming from: <path>\simulation_study\results\baseline_per_dataset.csv
Already-completed (algo,dataset) pairs: 18

=== AZP ===
  Rectangular d=3: time=1.06s ssr=291.92 randi=0.794 nmi=0.495 mae=0.584
  Rectangular d=4: time=1.00s ssr=78.24 randi=0.774 nmi=0.426 mae=0.554
  Rectangular d=5: time=1.54s ssr=82.61 randi=0.898 nmi=0.728 mae=0.325
  Rectangular d=6: time=0.80s ssr=119.98 randi=0.825 nmi=0.538 mae=0.644
  Rectangular d=7: time=1.47s ssr=360.38 randi=0.810 nmi=0.489 mae=0.691
  Rectangular d=8: time=1.60s ssr=191.65 randi=0.808 nmi=0.468 mae=0.689
  Rectangular d=9: time=1.32s ssr=252.52 randi=0.802 nmi=0.404 mae=0.762
  Rectangular d=10: time=1.07s ssr=255.24 randi=0.842 nmi=0.577 mae=0.989
  Rectangular d=11: time=1.37s ssr=175.13 randi=0.782 nmi=0.438 mae=0.870
  Rectangular d=12: time=1.42s ssr=221.50 randi=0.765 nmi=0.359 mae=0.969
  Rectangular d=13: time=1.40s ssr=205.29 randi=0.836 nmi=0.585 mae=0.624
  Rectangular d=14: time=1.52s ssr=295.39 randi=0.828 nmi=0.591 mae=0.574
  Rectangular d=15: time=2.17s ssr=249.15 randi=0.771 nmi=0.388 mae=0.853
  Rectangular d=16: time=2.59s ssr=216.47 randi=0.774 nmi=0.409 mae=1.086
  Rectangular d=17: time=1.42s ssr=435.43 randi=0.747 nmi=0.293 mae=1.005
  Rectangular d=18: time=1.12s ssr=167.06 randi=0.809 nmi=0.543 mae=0.858
  Rectangular d=19: time=1.41s ssr=301.82 randi=0.776 nmi=0.387 mae=0.973
  Rectangular d=20: time=1.49s ssr=319.83 randi=0.785 nmi=0.558 mae=0.604
  Rectangular d=21: time=1.33s ssr=345.00 randi=0.790 nmi=0.462 mae=0.744
  Rectangular d=22: time=1.65s ssr=494.60 randi=0.749 nmi=0.332 mae=1.117
  Rectangular d=23: time=1.56s ssr=327.33 randi=0.815 nmi=0.517 mae=0.720
  Rectangular d=24: time=1.30s ssr=210.80 randi=0.763 nmi=0.369 mae=0.897
  Rectangular d=25: time=1.95s ssr=166.25 randi=0.872 nmi=0.701 mae=0.423
  Rectangular d=26: time=1.97s ssr=181.83 randi=0.856 nmi=0.585 mae=0.524
  Rectangular d=27: time=2.02s ssr=441.34 randi=0.784 nmi=0.531 mae=0.718
  Rectangular d=28: time=2.36s ssr=152.91 randi=0.882 nmi=0.686 mae=0.410
  Rectangular d=29: time=2.25s ssr=212.82 randi=0.766 nmi=0.400 mae=0.830
  Rectangular d=30: time=1.54s ssr=147.53 randi=0.749 nmi=0.317 mae=0.866
  Rectangular d=31: time=1.75s ssr=354.48 randi=0.787 nmi=0.441 mae=0.776
  Rectangular d=32: time=2.62s ssr=250.06 randi=0.733 nmi=0.215 mae=1.064
  Rectangular d=33: time=1.21s ssr=442.05 randi=0.747 nmi=0.398 mae=0.713
  Rectangular d=34: time=1.53s ssr=114.70 randi=0.834 nmi=0.595 mae=0.468
  Rectangular d=35: time=2.54s ssr=409.84 randi=0.766 nmi=0.378 mae=0.983
  Rectangular d=36: time=2.04s ssr=188.88 randi=0.836 nmi=0.573 mae=0.429
  Rectangular d=37: time=1.44s ssr=197.52 randi=0.795 nmi=0.443 mae=0.632
  Rectangular d=38: time=2.20s ssr=241.42 randi=0.790 nmi=0.402 mae=0.884
  Rectangular d=39: time=2.62s ssr=123.73 randi=0.859 nmi=0.623 mae=0.462
  Rectangular d=40: time=1.57s ssr=377.70 randi=0.778 nmi=0.404 mae=0.646
  Rectangular d=41: time=2.04s ssr=179.13 randi=0.894 nmi=0.711 mae=0.345
  Rectangular d=42: time=1.35s ssr=256.22 randi=0.815 nmi=0.522 mae=0.683
  Rectangular d=43: time=2.24s ssr=270.67 randi=0.800 nmi=0.494 mae=0.777
  Rectangular d=44: time=2.25s ssr=339.75 randi=0.790 nmi=0.437 mae=0.960
  Rectangular d=45: time=3.03s ssr=293.86 randi=0.777 nmi=0.478 mae=0.877
  Rectangular d=46: time=2.83s ssr=257.99 randi=0.906 nmi=0.735 mae=0.444
  Rectangular d=47: time=0.90s ssr=192.40 randi=0.818 nmi=0.538 mae=0.792
  Rectangular d=48: time=1.29s ssr=111.57 randi=0.825 nmi=0.546 mae=0.534
  Rectangular d=49: time=2.60s ssr=287.68 randi=0.820 nmi=0.501 mae=0.651
  Voronoi d=53: time=1.89s ssr=352.68 randi=0.879 nmi=0.678 mae=0.392
  Voronoi d=54: time=1.89s ssr=233.92 randi=0.849 nmi=0.630 mae=0.496
  Voronoi d=55: time=2.09s ssr=148.31 randi=0.797 nmi=0.599 mae=0.366
  Voronoi d=56: time=1.16s ssr=345.82 randi=0.785 nmi=0.484 mae=0.784
  Voronoi d=57: time=1.08s ssr=151.49 randi=0.884 nmi=0.696 mae=0.369
  Voronoi d=58: time=0.81s ssr=179.75 randi=0.803 nmi=0.559 mae=0.617
  Voronoi d=59: time=2.46s ssr=132.08 randi=0.830 nmi=0.654 mae=0.447
  Voronoi d=60: time=1.03s ssr=264.35 randi=0.783 nmi=0.535 mae=0.906
  Voronoi d=61: time=0.77s ssr=295.54 randi=0.802 nmi=0.505 mae=0.647
  Voronoi d=62: time=1.20s ssr=143.14 randi=0.825 nmi=0.623 mae=0.521
  Voronoi d=63: time=1.31s ssr=113.14 randi=0.834 nmi=0.643 mae=0.447
  Voronoi d=64: time=0.82s ssr=270.35 randi=0.804 nmi=0.550 mae=0.636
  Voronoi d=65: time=1.48s ssr=249.50 randi=0.855 nmi=0.621 mae=0.563
  Voronoi d=66: time=1.25s ssr=194.12 randi=0.816 nmi=0.574 mae=0.580
  Voronoi d=67: time=1.34s ssr=235.95 randi=0.864 nmi=0.696 mae=0.338
  Voronoi d=68: time=1.47s ssr=203.72 randi=0.725 nmi=0.386 mae=0.773
  Voronoi d=69: time=1.17s ssr=106.75 randi=0.838 nmi=0.609 mae=0.486
  Voronoi d=70: time=1.16s ssr=128.45 randi=0.863 nmi=0.713 mae=0.461
  Voronoi d=71: time=0.70s ssr=115.67 randi=0.871 nmi=0.702 mae=0.326
  Voronoi d=72: time=1.46s ssr=151.17 randi=0.868 nmi=0.667 mae=0.500
  Voronoi d=73: time=1.07s ssr=111.64 randi=0.884 nmi=0.685 mae=0.318
  Voronoi d=74: time=0.97s ssr=100.09 randi=0.839 nmi=0.702 mae=0.427
  Voronoi d=75: time=0.93s ssr=143.76 randi=0.883 nmi=0.727 mae=0.394
  Voronoi d=76: time=0.54s ssr=237.59 randi=0.934 nmi=0.818 mae=0.324
  Voronoi d=77: time=2.29s ssr=179.59 randi=0.744 nmi=0.451 mae=0.598
  Voronoi d=78: time=1.33s ssr=295.45 randi=0.767 nmi=0.462 mae=0.780
  Voronoi d=79: time=1.03s ssr=189.27 randi=0.795 nmi=0.570 mae=0.610
  Voronoi d=80: time=1.79s ssr=157.11 randi=0.815 nmi=0.530 mae=0.685
  Voronoi d=81: time=1.11s ssr=190.35 randi=0.838 nmi=0.619 mae=0.514
  Voronoi d=82: time=1.47s ssr=132.82 randi=0.866 nmi=0.655 mae=0.542
  Voronoi d=83: time=1.14s ssr=157.06 randi=0.891 nmi=0.696 mae=0.557
  Voronoi d=84: time=1.98s ssr=122.91 randi=0.780 nmi=0.506 mae=0.555
  Voronoi d=85: time=0.71s ssr=90.69 randi=0.888 nmi=0.755 mae=0.432
