,region,lon,lat,Y,X1,X2,X3,X4,X5,X6,X7,X8
2,OK,-95.116494065308,35.224815744206,13.5,14.1,72.5,47.1,14.6,24.0,34.6,42.2,26.0
4,KS,-95.3139519927859,39.5314729069169,11.2,9.5,73.3,60.7,18.6,18.4,25.2,36.3,21.8
5,AK,-149.112545841578,61.150482370682,10.2,9.4,67.8,64.2,19.1,13.6,19.9,34.7,25.4
6,OK,-96.6156537381723,35.1680593598838,13.4,12.8,73.7,48.2,14.5,22.8,35.5,41.1,27.8
7,WV,-81.1115003008816,37.4056309003899,12.6,10.6,79.6,54.8,16.0,20.2,29.7,43.9,24.8
8,MN,-94.0669295707349,44.0345454957417,10.9,6.0,67.6,59.2,21.8,18.5,24.7,31.5,20.8
9,NE,-99.0753138152132,40.8549140546781,9.9,10.3,70.3,57.9,21.1,17.8,26.7,33.8,24.4
10,KY,-88.6511228405933,36.7230236653849,11.2,8.8,77.4,53.7,14.3,20.7,29.4,39.2,23.5
12,TX,-100.270357671339,35.8376485835775,9.5,19.7,70.2,55.8,20.1,16.7,26.3,37.7,28.8
13,MO,-92.0765035724993,39.7978199013128,11.0,12.2,73.8,53.9,19.2,23.0,29.0,38.8,23.2
14,MO,-93.5052433823843,39.4269766767271,10.7,12.1,73.4,56.3,20.3,21.3,27.1,39.0,21.8
15,TN,-89.413255123987,36.0594847370705,12.0,16.7,74.5,51.7,15.4,24.7,32.0,43.3,29.7
16,IA,-92.3176408168561,43.0600924885266,9.8,6.1,75.2,68.1,24.3,16.1,23.5,32.8,21.0
17,MN,-93.9479319612746,43.6739185141946,10.2,8.7,71.3,67.1,22.5,14.0,19.7,30.6,21.7
18,NE,-97.9923626121675,41.3973669035393,9.6,8.9,71.3,61.1,21.0,17.0,26.6,32.7,21.7
19,OH,-80.7763089335898,41.014638072438,11.6,9.3,77.0,59.6,18.5,21.6,27.9,42.7,26.4
20,MS,-88.9478680906015,33.9208230759646,11.0,15.9,77.7,6.6,14.4,21.8,37.0,41.0,34.4
21,TX,-97.4261528642449,28.6572997486097,9.5,23.1,71.7,54.1,19.4,16.0,28.1,38.3,29.6
22,KY,-87.0877123565695,37.731853475357,11.0,7.1,78.5,59.9,14.7,19.2,24.2,38.6,22.3
23,MS,-90.5886871287806,33.6022446844639,11.1,16.2,79.8,6.3,12.8,22.8,38.9,42.3,38.9
25,TX,-97.2911054620017,32.7719331621137,9.4,18.9,72.6,57.2,16.9,14.6,25.8,39.5,29.8
26,MN,-96.4554730867118,47.3264531891278,10.3,7.2,69.6,63.2,22.7,16.8,22.2,33.1,22.0
30,NM,-105.976252740807,35.506900601719,10.2,11.6,66.8,67.9,14.6,11.4,17.8,30.6,22.3
31,ME,-69.8536441032231,43.9590164573634,11.7,5.0,77.9,63.7,19.4,15.5,19.5,30.8,20.7
35,WI,-88.003761568209,44.4524309489072,11.0,7.2,76.1,68.5,22.2,16.5,21.9,31.5,24.6
36,IN,-86.6381199530206,38.079509981274,10.5,8.8,75.1,60.0,18.0,19.3,27.0,35.8,25.7
37,SC,-82.1260689800586,34.1538899560059,10.7,14.8,77.9,57.8,16.5,18.3,27.6,40.8,28.9
38,AZ,-109.887402691851,32.9327553402921,10.8,16.2,68.5,54.5,18.4,15.7,25.6,37.6,29.1
39,SC,-81.9660838206547,33.772095052778,10.8,15.1,76.7,55.2,18.4,19.4,29.2,39.1,29.8
40,WV,-80.5738950092347,40.5218655920266,12.3,6.9,78.3,53.7,17.2,21.4,30.2,39.8,24.6
41,OH,-83.0242544082613,39.6418488739589,11.0,11.0,76.3,61.9,21.2,19.6,25.8,41.8,26.0
42,OH,-83.622978870736,41.361689646332,11.1,6.2,77.2,66.4,20.9,15.7,23.5,37.1,21.6
43,MS,-88.5698353745843,33.1100147781248,11.6,15.7,80.6,6.5,12.9,21.4,36.8,43.4,39.0
45,MT,-110.52629655656,45.4881773935607,10.5,7.8,68.4,63.8,22.5,15.0,20.7,30.2,21.6
46,TX,-99.7607080145208,28.8660567049195,9.8,44.1,72.0,38.3,15.7,17.6,42.7,42.3,32.5
47,OH,-81.1785666230898,41.4995505355057,10.5,6.4,74.3,66.0,21.9,17.8,20.7,35.5,19.7
48,NH,-71.2030777502208,43.8738665247946,11.4,7.2,71.1,65.2,19.7,14.6,18.9,35.4,24.8
52,GA,-81.745381491443,31.7522994598883,10.9,18.4,74.5,53.5,16.4,18.2,29.6,40.9,32.7
53,MO,-91.4032773357883,36.6867003170786,11.4,15.2,73.2,48.9,18.1,25.9,31.8,39.1,23.5
54,KY,-87.8732998555619,36.8063370344073,11.4,7.1,77.5,56.3,14.4,19.6,26.3,41.4,25.6
56,NE,-95.7176760902879,40.1249750439117,10.2,11.3,70.5,56.6,19.7,19.3,29.7,31.3,22.1
59,MI,-85.1404720041255,44.9989840363288,10.8,5.5,76.2,73.5,21.7,13.1,18.6,32.2,21.0
61,IA,-91.4794958363333,40.6422524192372,10.3,7.0,75.8,62.9,22.9,17.8,28.5,36.5,24.4
62,KS,-100.4593927499,39.7846903901936,10.7,10.3,72.8,60.4,19.1,18.5,25.4,34.5,20.5
65,KY,-84.8771189162513,38.2393138397685,10.7,7.1,78.3,62.3,14.9,15.9,22.6,41.1,21.8
67,TN,-83.2225554028535,36.5234522153705,13.2,19.3,74.3,43.5,15.0,31.2,37.2,42.7,28.3
68,NC,-76.9765261847155,36.066157443707,11.3,14.2,78.3,50.9,15.1,21.0,29.9,43.8,29.2
69,KS,-98.6848141558495,37.2289283040021,11.1,9.5,74.0,58.9,18.5,19.1,25.1,34.6,22.3
71,MI,-85.5785690119737,44.3383613375827,11.6,6.6,74.9,64.4,19.8,19.3,23.4,34.1,22.8
72,UT,-111.443307900102,37.854674848731,11.4,8.9,68.4,65.7,13.6,10.7,19.5,36.8,22.2
73,TX,-106.234769971665,31.7686659871114,9.3,31.5,71.3,50.0,18.4,14.4,31.0,37.9,29.8
74,GA,-84.5331196585988,32.6992774965399,11.7,17.6,77.0,48.1,13.8,20.9,33.2,42.5,34.9
76,TN,-84.5231146561792,35.1199362720267,11.9,13.8,74.7,55.4,17.1,22.8,28.9,40.3,27.7
77,TN,-87.4934669216043,35.5273554402834,12.6,14.7,73.2,49.6,16.2,26.8,32.8,39.6,30.7
78,KY,-87.1424422137132,37.2157493105345,11.5,9.0,76.7,54.7,14.5,21.8,27.0,42.9,22.4
79,KS,-99.2368292701345,38.1811561054533,10.2,10.1,75.1,62.8,20.7,15.8,25.2,36.3,23.6
80,NC,-78.4079704512629,36.3651057008362,11.2,12.5,77.9,54.1,15.1,19.1,28.5,41.0,28.8
81,GA,-82.6366953093619,31.8060289030775,11.6,17.1,73.4,47.0,15.2,22.5,33.3,37.3,30.6
82,TX,-102.261693793651,34.5300508535073,9.3,30.1,71.4,50.1,18.2,15.4,32.1,39.5,27.8
83,CA,-121.932781028652,38.2699375647315,10.0,8.8,68.9,61.3,18.1,13.2,21.8,38.1,31.0
84,TX,-95.4512838215283,29.1895857693754,9.1,17.4,72.0,57.7,18.8,12.9,25.4,42.1,27.3
85,KS,-95.0382345190297,39.1999862996613,10.1,9.6,75.2,66.0,19.4,14.9,22.1,37.3,20.1
86,AL,-86.6428164158396,32.5350016195151,10.0,9.0,77.9,61.9,16.6,15.4,25.7,37.7,24.0
87,ME,-70.2067586997966,44.1654739027752,12.5,7.4,79.4,61.2,17.8,16.4,22.3,37.8,24.9
88,SC,-80.2164297187346,33.6659775926252,10.9,16.8,78.1,54.5,16.9,19.2,30.6,38.1,29.4
89,IN,-86.8940552546538,40.3886239103306,10.6,8.2,76.9,60.0,17.5,17.5,26.6,37.6,22.5
90,ID,-112.224464654126,42.6685980174801,11.1,9.8,72.3,64.4,15.9,13.9,22.4,36.9,20.6
92,NM,-106.692981140881,36.5094888401674,11.3,18.2,65.5,56.1,15.9,17.8,27.7,36.0,27.7
93,MI,-83.3857850852382,42.6603841794277,10.4,4.4,76.5,72.8,18.9,12.3,18.9,32.1,23.5
94,NC,-77.8842723951621,34.2328162979962,9.6,8.4,76.0,68.1,20.6,12.5,18.2,32.1,18.6
95,NC,-77.1093472458262,35.8432221253514,11.3,15.2,77.2,53.9,16.1,19.7,28.4,38.9,26.7
96,AK,-159.722233405755,67.0527933404638,13.5,12.9,65.0,42.9,20.1,29.2,30.6,42.7,34.6
97,MO,-93.5684789350163,40.4224304026288,10.9,13.1,74.0,56.8,19.6,19.8,27.5,38.7,21.0
99,MO,-91.4702914684888,38.9413373254871,11.1,12.5,73.0,54.1,19.5,23.0,29.6,39.7,23.2
100,KY,-84.8283531236799,36.8008845409014,12.1,10.3,75.9,46.7,13.6,25.9,34.6,42.4,24.1
101,NE,-98.952831971485,40.1763829630923,9.9,10.7,70.6,60.4,21.1,17.9,27.9,33.8,23.1
102,GA,-84.0028613994945,34.5724830927062,10.2,12.7,73.2,59.6,17.7,15.7,24.8,36.7,25.0
105,SC,-81.1845207722132,34.9748106049519,10.1,13.3,74.4,64.0,18.7,15.4,23.6,34.3,23.7
107,MD,-77.0227635353375,39.5629025323817,10.2,7.0,74.1,66.0,19.5,11.9,20.2,35.1,26.7
108,OH,-83.6594148955231,40.6616220714596,11.9,8.4,74.0,51.9,18.9,26.4,31.6,41.7,22.6
109,NV,-115.01439860617,36.2150650480518,10.5,16.0,67.7,56.8,18.3,15.7,27.0,41.4,29.8
110,GA,-81.6704234596136,30.9304833205109,10.7,16.6,75.3,56.2,17.0,18.0,27.3,38.2,29.1
111,KS,-100.850630864337,37.1933271863834,10.2,30.3,72.8,52.8,17.3,16.7,34.5,39.7,28.6
113,MD,-76.0240862590696,39.0662241668469,10.9,7.9,73.5,64.4,20.4,13.4,23.3,34.6,24.0
114,GA,-84.4366722312933,31.7770572781924,12.0,22.0,77.3,45.7,13.2,22.0,35.3,45.5,37.1
118,TN,-86.4607991890573,36.4689167276957,10.9,11.1,75.9,63.0,18.2,17.5,24.3,37.5,25.6
119,ID,-113.933478496525,44.9434584985958,11.3,8.3,70.9,63.4,17.4,15.2,22.6,34.0,21.5
120,WA,-118.418646673561,47.5762886822607,12.3,7.9,65.0,60.6,19.4,15.5,21.0,33.3,24.9
121,IN,-87.0674513182353,41.4608374022855,11.0,8.7,75.6,63.9,17.7,16.6,25.4,38.1,23.7
122,WI,-89.044669731292,43.800497781151,11.6,7.4,71.3,59.2,22.6,20.2,24.9,35.0,24.8
123,NC,-77.5971756410996,35.913040080039,11.3,14.1,78.8,53.9,14.9,18.9,28.6,38.4,26.8
124,KY,-84.8671221941253,37.623981243286,11.1,8.3,76.9,58.9,15.2,18.2,24.9,39.8,21.9
126,OH,-82.9932730384393,38.80401792582,12.0,10.1,76.3,54.0,17.7,23.6,30.6,44.4,24.8
128,MO,-92.8757618781185,37.2809123581798,10.5,10.4,73.7,58.9,19.6,19.3,26.5,37.8,23.4
129,MS,-89.5811695102407,33.0864929422051,11.0,13.6,78.7,7.5,13.9,20.5,34.8,40.4,35.3
130,OH,-81.9443705638671,39.9654979109366,11.2,7.1,77.9,60.3,19.6,19.6,27.3,41.7,23.2
132,IN,-86.5099930674506,39.7695155217637,10.2,8.3,76.6,66.8,16.9,15.1,23.9,38.7,24.5
133,MI,-83.5380446708107,41.9282711920747,11.7,7.3,75.3,68.1,19.8,18.3,24.3,36.8,22.4
134,CA,-120.717993200586,39.0633030825061,10.2,5.9,68.3,68.9,21.0,11.5,16.5,33.0,24.3
137,TX,-101.354568947694,36.2774356712956,9.5,25.7,71.2,55.5,19.2,13.9,27.0,36.5,27.2
139,KY,-84.4842553993993,36.7369269014208,12.2,11.7,77.3,45.2,13.5,25.2,34.2,45.4,25.7
140,VT,-73.1408412196056,44.0309582617477,11.4,8.6,71.9,72.6,20.2,11.8,14.7,29.4,19.8
141,MO,-94.4095546973503,40.2120580967131,10.9,13.3,73.1,54.0,20.2,23.0,28.5,39.2,23.1
142,TX,-96.5776341634458,28.9540204387149,10.1,23.1,71.2,50.0,19.2,18.0,30.7,40.0,30.4
143,TN,-89.1484178194834,36.3583587008047,11.9,15.3,75.2,53.4,16.2,23.5,30.3,42.4,28.7
147,OH,-81.658627773816,41.4243019834267,12.0,7.3,78.0,63.0,19.8,17.7,22.7,39.1,26.3
148,MS,-88.6803890983401,34.2898902056682,10.3,12.9,76.8,9.2,16.8,18.1,32.5,36.1,30.4
149,TX,-98.6877013136536,33.1763786194871,10.3,16.7,70.8,51.9,19.6,18.8,28.6,39.2,27.0
150,NM,-103.81995879697,35.857671856338,11.4,15.8,65.3,57.9,16.6,17.8,25.9,34.8,26.9
151,TX,-100.255805654489,33.6164384711197,10.7,27.3,71.4,44.2,17.4,22.1,33.9,40.4,28.3
152,MT,-109.175211549866,46.3812633183309,12.0,8.3,67.7,56.0,22.1,20.0,25.3,34.1,26.0
153,KS,-94.7650051303517,39.1147931194662,10.8,18.6,75.4,53.4,15.6,19.4,35.3,37.4,27.0
154,TX,-94.6116992392933,31.2547198881231,11.1,20.8,74.7,47.1,16.8,19.7,31.1,42.6,30.1
155,WV,-79.5658010101617,39.1135842932892,12.1,7.7,78.6,58.7,17.7,18.6,26.6,38.8,26.8
156,TX,-98.5089333372538,27.6813479552338,9.3,43.9,69.2,40.9,17.0,17.6,39.5,41.3,33.5
157,MN,-93.9630860406499,45.1740837983303,9.7,5.4,68.3,69.3,23.7,14.0,18.4,31.3,20.7
158,MS,-88.6441634400411,30.862637172487,10.4,13.4,76.0,9.3,16.7,18.1,29.7,34.6,28.6
161,MO,-92.2076725320903,37.8246506981251,10.0,11.3,75.4,58.8,19.5,18.0,24.2,42.6,23.4
162,NC,-76.246508754071,35.5192667562167,10.6,16.5,74.9,50.5,17.0,22.1,30.5,38.0,26.6
165,WI,-89.5014634259803,44.476069468424,10.8,6.8,75.8,66.2,25.4,15.5,21.2,34.7,25.6
166,IN,-85.8607456885205,41.2441073982605,10.6,8.8,76.0,62.9,17.1,16.7,26.4,35.5,23.0
167,KY,-88.3291758441086,36.8833337985024,11.1,7.9,77.0,58.4,15.6,19.0,25.6,37.6,21.9
168,TX,-96.5807056451504,31.5455242712717,10.6,22.7,72.3,46.2,18.2,21.1,33.6,40.9,31.5
169,MO,-94.3482788212234,36.6287006346982,11.5,16.5,73.9,48.3,18.7,25.2,32.7,41.5,25.7
170,TX,-101.820518052289,33.6101840470101,10.2,21.5,72.9,53.7,18.7,16.1,27.6,35.9,29.0
172,AL,-85.7157596722874,32.1005731304216,11.9,21.4,79.6,39.0,12.7,24.9,39.9,50.5,34.5
173,NE,-100.477329716049,40.1756372724134,9.5,11.6,71.6,65.8,21.7,14.9,22.2,32.1,22.1
174,WI,-87.9453315851594,43.7212481954764,10.3,6.3,74.5,68.1,24.8,14.2,18.7,32.6,24.8
175,IA,-95.310088943124,41.6851018395571,10.1,7.4,73.8,66.4,24.3,16.6,24.4,32.1,22.6
176,WV,-77.8631657527537,39.3075892215768,11.6,9.0,76.6,61.8,19.2,15.1,23.1,37.4,24.0
